,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,7407,-548,Mon Jun 15 01:00:02 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Mon Jun 15 01:00:02 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Mon Jun 15 01:00:02 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Mon Jun 15 01:00:02 2020
4,Andaman and Nicobar Islands,Unknown,7,0,Mon Jun 15 01:00:02 2020
5,Andhra Pradesh,Foreign Evacuees,202,0,Mon Jun 15 01:00:02 2020
6,Andhra Pradesh,Anantapur,463,45,Mon Jun 15 01:00:02 2020
7,Andhra Pradesh,Chittoor,353,3,Mon Jun 15 01:00:02 2020
8,Andhra Pradesh,East Godavari,352,32,Mon Jun 15 01:00:02 2020
9,Andhra Pradesh,Guntur,623,11,Mon Jun 15 01:00:02 2020
10,Andhra Pradesh,Krishna,701,36,Mon Jun 15 01:00:02 2020
11,Andhra Pradesh,Kurnool,976,51,Mon Jun 15 01:00:02 2020
12,Andhra Pradesh,Other State,1107,39,Mon Jun 15 01:00:02 2020
13,Andhra Pradesh,Prakasam,101,2,Mon Jun 15 01:00:02 2020
14,Andhra Pradesh,S.P.S. Nellore,396,13,Mon Jun 15 01:00:02 2020
15,Andhra Pradesh,Srikakulam,55,16,Mon Jun 15 01:00:02 2020
16,Andhra Pradesh,Visakhapatnam,216,15,Mon Jun 15 01:00:02 2020
17,Andhra Pradesh,Vizianagaram,72,10,Mon Jun 15 01:00:02 2020
18,Andhra Pradesh,West Godavari,286,14,Mon Jun 15 01:00:02 2020
19,Andhra Pradesh,Y.S.R. Kadapa,247,5,Mon Jun 15 01:00:02 2020
20,Andhra Pradesh,Unknown,2,0,Mon Jun 15 01:00:02 2020
21,Arunachal Pradesh,Anjaw,0,0,Mon Jun 15 01:00:02 2020
22,Arunachal Pradesh,Changlang,55,-4,Mon Jun 15 01:00:02 2020
23,Arunachal Pradesh,East Kameng,0,0,Mon Jun 15 01:00:02 2020
24,Arunachal Pradesh,East Siang,9,0,Mon Jun 15 01:00:02 2020
25,Arunachal Pradesh,Kamle,0,0,Mon Jun 15 01:00:02 2020
26,Arunachal Pradesh,Kra Daadi,0,0,Mon Jun 15 01:00:02 2020
27,Arunachal Pradesh,Kurung Kumey,0,0,Mon Jun 15 01:00:02 2020
28,Arunachal Pradesh,Lepa Rada,0,0,Mon Jun 15 01:00:02 2020
29,Arunachal Pradesh,Lohit,2,0,Mon Jun 15 01:00:02 2020
30,Arunachal Pradesh,Longding,1,0,Mon Jun 15 01:00:02 2020
31,Arunachal Pradesh,Lower Dibang Valley,2,0,Mon Jun 15 01:00:02 2020
32,Arunachal Pradesh,Lower Siang,0,0,Mon Jun 15 01:00:02 2020
33,Arunachal Pradesh,Lower Subansiri,0,0,Mon Jun 15 01:00:02 2020
34,Arunachal Pradesh,Namsai,3,0,Mon Jun 15 01:00:02 2020
35,Arunachal Pradesh,Pakke Kessang,0,0,Mon Jun 15 01:00:02 2020
36,Arunachal Pradesh,Papum Pare,5,0,Mon Jun 15 01:00:02 2020
37,Arunachal Pradesh,Shi Yomi,0,0,Mon Jun 15 01:00:02 2020
38,Arunachal Pradesh,Siang,0,0,Mon Jun 15 01:00:02 2020
39,Arunachal Pradesh,Tawang,1,0,Mon Jun 15 01:00:02 2020
40,Arunachal Pradesh,Tirap,1,0,Mon Jun 15 01:00:02 2020
41,Arunachal Pradesh,Upper Dibang Valley,0,0,Mon Jun 15 01:00:02 2020
42,Arunachal Pradesh,Upper Siang,1,0,Mon Jun 15 01:00:02 2020
43,Arunachal Pradesh,Upper Subansiri,0,0,Mon Jun 15 01:00:02 2020
44,Arunachal Pradesh,West Kameng,3,0,Mon Jun 15 01:00:02 2020
45,Arunachal Pradesh,West Siang,1,0,Mon Jun 15 01:00:02 2020
46,Arunachal Pradesh,Unknown,7,0,Mon Jun 15 01:00:02 2020
47,Assam,Airport Quarantine,4,0,Mon Jun 15 01:00:02 2020
48,Assam,Baksa,25,2,Mon Jun 15 01:00:02 2020
49,Assam,Barpeta,121,13,Mon Jun 15 01:00:02 2020
50,Assam,Biswanath,52,0,Mon Jun 15 01:00:02 2020
51,Assam,Bongaigaon,20,1,Mon Jun 15 01:00:02 2020
52,Assam,Cachar,91,1,Mon Jun 15 01:00:02 2020
53,Assam,Charaideo,15,0,Mon Jun 15 01:00:02 2020
54,Assam,Chirang,41,2,Mon Jun 15 01:00:02 2020
55,Assam,Darrang,102,13,Mon Jun 15 01:00:02 2020
56,Assam,Dhemaji,81,8,Mon Jun 15 01:00:02 2020
57,Assam,Dhubri,321,15,Mon Jun 15 01:00:02 2020
58,Assam,Dibrugarh,56,0,Mon Jun 15 01:00:02 2020
59,Assam,Dima Hasao,88,0,Mon Jun 15 01:00:02 2020
60,Assam,Goalpara,57,0,Mon Jun 15 01:00:02 2020
61,Assam,Golaghat,242,10,Mon Jun 15 01:00:02 2020
62,Assam,Hailakandi,52,0,Mon Jun 15 01:00:02 2020
63,Assam,Hojai,266,0,Mon Jun 15 01:00:02 2020
64,Assam,Jorhat,63,12,Mon Jun 15 01:00:02 2020
65,Assam,Kamrup,206,57,Mon Jun 15 01:00:02 2020
66,Assam,Kamrup Metropolitan,564,19,Mon Jun 15 01:00:02 2020
67,Assam,Karbi Anglong,18,1,Mon Jun 15 01:00:02 2020
68,Assam,Karimganj,86,3,Mon Jun 15 01:00:02 2020
69,Assam,Kokrajhar,73,0,Mon Jun 15 01:00:02 2020
70,Assam,Lakhimpur,78,2,Mon Jun 15 01:00:02 2020
71,Assam,Majuli,16,9,Mon Jun 15 01:00:02 2020
72,Assam,Morigaon,49,0,Mon Jun 15 01:00:02 2020
73,Assam,Nagaon,276,62,Mon Jun 15 01:00:02 2020
74,Assam,Nalbari,25,0,Mon Jun 15 01:00:02 2020
75,Assam,Other State,1,0,Mon Jun 15 01:00:02 2020
76,Assam,Sivasagar,27,0,Mon Jun 15 01:00:02 2020
77,Assam,Sonitpur,44,0,Mon Jun 15 01:00:02 2020
78,Assam,South Salmara Mankachar,7,0,Mon Jun 15 01:00:02 2020
79,Assam,Tinsukia,102,0,Mon Jun 15 01:00:02 2020
80,Assam,Udalguri,89,4,Mon Jun 15 01:00:02 2020
81,Assam,West Karbi Anglong,28,0,Mon Jun 15 01:00:02 2020
82,Assam,Unknown,733,0,Mon Jun 15 01:00:02 2020
83,Bihar,Araria,88,0,Mon Jun 15 01:00:02 2020
84,Bihar,Arwal,70,0,Mon Jun 15 01:00:02 2020
85,Bihar,Aurangabad,129,6,Mon Jun 15 01:00:02 2020
86,Bihar,Banka,172,4,Mon Jun 15 01:00:02 2020
87,Bihar,Begusarai,299,0,Mon Jun 15 01:00:02 2020
88,Bihar,Bhagalpur,326,4,Mon Jun 15 01:00:02 2020
89,Bihar,Bhojpur,145,-1,Mon Jun 15 01:00:02 2020
