,states,districts,confirmed,delta,date
0,Kerala,Thrissur,13,0,Sun Apr 19 13:46:55 2020
1,Kerala,Alappuzha,5,0,Sun Apr 19 13:46:55 2020
2,Kerala,Kasaragod,168,0,Sun Apr 19 13:46:55 2020
3,Kerala,Pathanamthitta,17,0,Sun Apr 19 13:46:55 2020
4,Kerala,Kannur,85,0,Sun Apr 19 13:46:55 2020
5,Kerala,Ernakulam,24,0,Sun Apr 19 13:46:55 2020
6,Kerala,Kottayam,3,0,Sun Apr 19 13:46:55 2020
7,Kerala,Thiruvananthapuram,14,0,Sun Apr 19 13:46:55 2020
8,Kerala,Idukki,10,0,Sun Apr 19 13:46:55 2020
9,Kerala,Malappuram,20,0,Sun Apr 19 13:46:55 2020
10,Kerala,Kozhikode,20,0,Sun Apr 19 13:46:55 2020
11,Kerala,Palakkad,8,0,Sun Apr 19 13:46:55 2020
12,Kerala,Wayanad,3,0,Sun Apr 19 13:46:55 2020
13,Kerala,Kollam,9,0,Sun Apr 19 13:46:55 2020
14,Delhi,East Delhi,1,0,Sun Apr 19 13:46:55 2020
15,Delhi,South West Delhi,3,0,Sun Apr 19 13:46:55 2020
16,Delhi,West Delhi,2,0,Sun Apr 19 13:46:55 2020
17,Delhi,North Delhi,3,0,Sun Apr 19 13:46:55 2020
18,Delhi,New Delhi,5,0,Sun Apr 19 13:46:55 2020
19,Delhi,South Delhi,26,0,Sun Apr 19 13:46:55 2020
20,Delhi,North East Delhi,1,0,Sun Apr 19 13:46:55 2020
21,Delhi,North West Delhi,3,0,Sun Apr 19 13:46:55 2020
22,Delhi,Unknown,1849,0,Sun Apr 19 13:46:55 2020
23,Telangana,Hyderabad,448,0,Sun Apr 19 13:46:55 2020
24,Telangana,Karimnagar,19,0,Sun Apr 19 13:46:55 2020
25,Telangana,Bhadradri Kothagudem,4,0,Sun Apr 19 13:46:55 2020
26,Telangana,Ranga Reddy,25,0,Sun Apr 19 13:46:55 2020
27,Telangana,Medchal Malkajgiri,6,0,Sun Apr 19 13:46:55 2020
28,Telangana,Rajanna Sircilla,3,0,Sun Apr 19 13:46:55 2020
29,Telangana,Khammam,7,0,Sun Apr 19 13:46:55 2020
30,Telangana,Warangal Urban,21,0,Sun Apr 19 13:46:55 2020
31,Telangana,Unknown,22,0,Sun Apr 19 13:46:55 2020
32,Telangana,Vikarabad,33,0,Sun Apr 19 13:46:55 2020
33,Telangana,Suryapet,43,0,Sun Apr 19 13:46:55 2020
34,Telangana,Siddipet,1,0,Sun Apr 19 13:46:55 2020
35,Telangana,Sangareddy,7,0,Sun Apr 19 13:46:55 2020
36,Telangana,Nizamabad,58,0,Sun Apr 19 13:46:55 2020
37,Telangana,Medak,5,0,Sun Apr 19 13:46:55 2020
38,Telangana,Mahabubnagar,11,0,Sun Apr 19 13:46:55 2020
39,Telangana,Mahabubabad,1,0,Sun Apr 19 13:46:55 2020
40,Telangana,Adilabad,11,0,Sun Apr 19 13:46:55 2020
41,Telangana,Nirmal,17,0,Sun Apr 19 13:46:55 2020
42,Telangana,Peddapalli,2,0,Sun Apr 19 13:46:55 2020
43,Telangana,Jagitial,3,0,Sun Apr 19 13:46:55 2020
44,Telangana,Jogulamba Gadwal,26,0,Sun Apr 19 13:46:55 2020
45,Telangana,Nalgonda,13,0,Sun Apr 19 13:46:55 2020
46,Telangana,Nagarkurnool,2,0,Sun Apr 19 13:46:55 2020
47,Telangana,Mulugu,2,0,Sun Apr 19 13:46:55 2020
48,Telangana,Kamareddy,11,0,Sun Apr 19 13:46:55 2020
49,Telangana,Jayashankar,3,0,Sun Apr 19 13:46:55 2020
50,Telangana,Jangoan,2,0,Sun Apr 19 13:46:55 2020
51,Telangana,Kumuram Bheem Asifabad,3,0,Sun Apr 19 13:46:55 2020
52,Rajasthan,Italians*,2,0,Sun Apr 19 13:46:55 2020
53,Rajasthan,Jaipur,521,2,Sun Apr 19 13:46:55 2020
54,Rajasthan,Jhunjhunu,36,0,Sun Apr 19 13:46:55 2020
55,Rajasthan,Bhilwara,28,0,Sun Apr 19 13:46:55 2020
56,Rajasthan,Jodhpur,207,27,Sun Apr 19 13:46:55 2020
57,Rajasthan,Pali,2,0,Sun Apr 19 13:46:55 2020
58,Rajasthan,Sikar,2,0,Sun Apr 19 13:46:55 2020
59,Rajasthan,Pratapgarh,2,0,Sun Apr 19 13:46:55 2020
60,Rajasthan,Dungarpur,5,0,Sun Apr 19 13:46:55 2020
61,Rajasthan,Churu,14,0,Sun Apr 19 13:46:55 2020
62,Rajasthan,Ajmer,18,0,Sun Apr 19 13:46:55 2020
63,Rajasthan,Evacuees*,60,0,Sun Apr 19 13:46:55 2020
64,Rajasthan,Alwar,7,0,Sun Apr 19 13:46:55 2020
65,Rajasthan,Tonk,95,0,Sun Apr 19 13:46:55 2020
66,Rajasthan,Dhaulpur,1,0,Sun Apr 19 13:46:55 2020
67,Rajasthan,Udaipur,4,0,Sun Apr 19 13:46:55 2020
68,Rajasthan,Bharatpur,93,8,Sun Apr 19 13:46:55 2020
69,Rajasthan,Bikaner,35,0,Sun Apr 19 13:46:55 2020
70,Rajasthan,Dausa,13,0,Sun Apr 19 13:46:55 2020
71,Rajasthan,Banswara,60,0,Sun Apr 19 13:46:55 2020
72,Rajasthan,Karauli,3,0,Sun Apr 19 13:46:55 2020
73,Rajasthan,Nagaur,32,1,Sun Apr 19 13:46:55 2020
74,Rajasthan,Jaisalmer,32,1,Sun Apr 19 13:46:55 2020
75,Rajasthan,Kota,99,2,Sun Apr 19 13:46:55 2020
76,Rajasthan,Jhalawar,20,2,Sun Apr 19 13:46:55 2020
77,Rajasthan,Barmer,1,0,Sun Apr 19 13:46:55 2020
78,Rajasthan,Hanumangarh,3,1,Sun Apr 19 13:46:55 2020
79,Haryana,Italians*,14,0,Sun Apr 19 13:46:55 2020
80,Haryana,Gurugram,32,0,Sun Apr 19 13:46:55 2020
81,Haryana,Faridabad,33,0,Sun Apr 19 13:46:55 2020
82,Haryana,Panipat,5,0,Sun Apr 19 13:46:55 2020
83,Haryana,Panchkula,17,0,Sun Apr 19 13:46:55 2020
84,Haryana,Sonipat,7,0,Sun Apr 19 13:46:55 2020
85,Haryana,Palwal,34,0,Sun Apr 19 13:46:55 2020
86,Haryana,Ambala,7,0,Sun Apr 19 13:46:55 2020
87,Haryana,Sirsa,4,0,Sun Apr 19 13:46:55 2020
88,Haryana,Hisar,2,0,Sun Apr 19 13:46:55 2020
89,Haryana,Rohtak,1,0,Sun Apr 19 13:46:55 2020
90,Haryana,Nuh,57,0,Sun Apr 19 13:46:55 2020
91,Haryana,Karnal,6,0,Sun Apr 19 13:46:55 2020
92,Haryana,Bhiwani,2,0,Sun Apr 19 13:46:55 2020
93,Haryana,Kaithal,2,0,Sun Apr 19 13:46:55 2020
94,Haryana,Charki Dadri,1,0,Sun Apr 19 13:46:55 2020
95,Haryana,Jind,2,0,Sun Apr 19 13:46:55 2020
96,Haryana,Fatehabad,1,0,Sun Apr 19 13:46:55 2020
97,Haryana,Kurukshetra,2,0,Sun Apr 19 13:46:55 2020
98,Haryana,Yamunanagar,3,0,Sun Apr 19 13:46:55 2020
99,Uttar Pradesh,Agra,199,0,Sun Apr 19 13:46:55 2020
100,Uttar Pradesh,Ghaziabad,30,0,Sun Apr 19 13:46:55 2020
101,Uttar Pradesh,Lucknow,160,0,Sun Apr 19 13:46:55 2020
102,Uttar Pradesh,Gautam Buddha Nagar,95,0,Sun Apr 19 13:46:55 2020
103,Uttar Pradesh,Kheri,4,0,Sun Apr 19 13:46:55 2020
104,Uttar Pradesh,Moradabad,39,0,Sun Apr 19 13:46:55 2020
105,Uttar Pradesh,Varanasi,14,0,Sun Apr 19 13:46:55 2020
106,Uttar Pradesh,Kanpur Nagar,30,0,Sun Apr 19 13:46:55 2020
107,Uttar Pradesh,Pilibhit,2,0,Sun Apr 19 13:46:55 2020
108,Uttar Pradesh,Jaunpur,5,0,Sun Apr 19 13:46:55 2020
109,Uttar Pradesh,Baghpat,15,0,Sun Apr 19 13:46:55 2020
110,Uttar Pradesh,Shamli,23,0,Sun Apr 19 13:46:55 2020
111,Uttar Pradesh,Meerut,70,0,Sun Apr 19 13:46:55 2020
112,Uttar Pradesh,Bareilly,6,0,Sun Apr 19 13:46:55 2020
113,Uttar Pradesh,Bulandshahr,15,0,Sun Apr 19 13:46:55 2020
114,Uttar Pradesh,Basti,16,0,Sun Apr 19 13:46:55 2020
