,states,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Wed Apr 22 17:52:38 2020
1,Andaman and Nicobar Islands,South Andaman,15,0,Wed Apr 22 17:52:38 2020
2,Andaman and Nicobar Islands,Unknown,1,0,Wed Apr 22 17:52:38 2020
3,Andhra Pradesh,Anantapur,36,0,Wed Apr 22 17:52:38 2020
4,Andhra Pradesh,Chittoor,59,6,Wed Apr 22 17:52:38 2020
5,Andhra Pradesh,East Godavari,26,0,Wed Apr 22 17:52:38 2020
6,Andhra Pradesh,Guntur,177,20,Wed Apr 22 17:52:38 2020
7,Andhra Pradesh,Krishna,86,3,Wed Apr 22 17:52:38 2020
8,Andhra Pradesh,Kurnool,203,19,Wed Apr 22 17:52:38 2020
9,Andhra Pradesh,Prakasam,48,4,Wed Apr 22 17:52:38 2020
10,Andhra Pradesh,S.P.S. Nellore,67,-1,Wed Apr 22 17:52:38 2020
11,Andhra Pradesh,Visakhapatnam,21,0,Wed Apr 22 17:52:38 2020
12,Andhra Pradesh,West Godavari,39,0,Wed Apr 22 17:52:38 2020
13,Andhra Pradesh,Y.S.R.,51,5,Wed Apr 22 17:52:38 2020
14,Arunachal Pradesh,Lohit,1,0,Wed Apr 22 17:52:38 2020
15,Assam,Cachar,2,0,Wed Apr 22 17:52:38 2020
16,Assam,Dhubri,4,0,Wed Apr 22 17:52:38 2020
17,Assam,Goalpara,4,0,Wed Apr 22 17:52:38 2020
18,Assam,Golaghat,1,0,Wed Apr 22 17:52:38 2020
19,Assam,Hailakandi,1,0,Wed Apr 22 17:52:38 2020
20,Assam,Jorhat,8,0,Wed Apr 22 17:52:38 2020
21,Assam,Kamrup,1,0,Wed Apr 22 17:52:38 2020
22,Assam,Kamrup Metropolitan,6,0,Wed Apr 22 17:52:38 2020
23,Assam,Lakhimpur,1,0,Wed Apr 22 17:52:38 2020
24,Assam,Morigaon,3,0,Wed Apr 22 17:52:38 2020
25,Assam,Nalbari,3,0,Wed Apr 22 17:52:38 2020
26,Assam,South Salmara Mancachar,1,0,Wed Apr 22 17:52:38 2020
27,Bihar,Begusarai,9,0,Wed Apr 22 17:52:38 2020
28,Bihar,Bhagalpur,1,0,Wed Apr 22 17:52:38 2020
29,Bihar,Bhojpur,1,0,Wed Apr 22 17:52:38 2020
30,Bihar,Buxar,8,0,Wed Apr 22 17:52:38 2020
31,Bihar,East Champaran,1,1,Wed Apr 22 17:52:38 2020
32,Bihar,Gaya,5,0,Wed Apr 22 17:52:38 2020
33,Bihar,Gopalganj,3,0,Wed Apr 22 17:52:38 2020
34,Bihar,Lakhisarai,1,0,Wed Apr 22 17:52:38 2020
35,Bihar,Munger,27,0,Wed Apr 22 17:52:38 2020
36,Bihar,Nalanda,29,1,Wed Apr 22 17:52:38 2020
37,Bihar,Nawada,3,0,Wed Apr 22 17:52:38 2020
38,Bihar,Patna,16,8,Wed Apr 22 17:52:38 2020
39,Bihar,Rohtas,1,0,Wed Apr 22 17:52:38 2020
40,Bihar,Saran,1,0,Wed Apr 22 17:52:38 2020
41,Bihar,Siwan,29,0,Wed Apr 22 17:52:38 2020
42,Bihar,Vaishali,1,0,Wed Apr 22 17:52:38 2020
43,Chandigarh,Chandigarh,27,0,Wed Apr 22 17:52:38 2020
44,Chhattisgarh,Bilaspur,1,0,Wed Apr 22 17:52:38 2020
45,Chhattisgarh,Durg,1,0,Wed Apr 22 17:52:38 2020
46,Chhattisgarh,Korba,28,0,Wed Apr 22 17:52:38 2020
47,Chhattisgarh,Raipur,5,0,Wed Apr 22 17:52:38 2020
48,Chhattisgarh,Rajnandgaon,1,0,Wed Apr 22 17:52:38 2020
49,Delhi,East Delhi,1,0,Wed Apr 22 17:52:38 2020
